,Clluster no.,Pixel Values,Total Brightness (sum),Brightness Pixel Value,Brightest Pixel Coordinate,Magnitude
0,1,"[3484, 3482, 3489]",10455,3489,"[[126, 3588]]",15.251689907115773
1,2,"[3495, 3485, 3483]",10463,3495,"[[49, 3528]]",15.25085943670163
2,3,"[3483, 3489, 3485]",10457,3489,"[[52, 3526]]",15.251482229952792
3,4,"[3499, 3527, 3532, 3505, 3483, 3482, 3488, 3530, 3565, 3549, 3517, 3483, 3505, 3534, 3543, 3563, 3549, 3536, 3490, 3504, 3537, 3531, 3546, 3513, 3484, 3498, 3500]",94993,3565,"[[79, 3562]]",12.855770991340542
4,5,[3489],3489,3489,"[[62, 3590]]",16.443247576379726
5,6,"[3519, 3518]",7037,3519,"[[1337, 0]]",15.681531122431512
6,7,[3609],3609,3609,"[[1315, 7]]",16.40653279485123
7,8,"[3483, 3483, 3496, 3504, 3511, 3540, 3524, 3521, 3509, 3558, 3589, 3608, 3598, 3572, 3543, 3498, 3522, 3546, 3636, 3726, 3769, 3760, 3702, 3576, 3526, 3545, 3644, 3733, 3838, 3949, 3946, 3815, 3658, 3553, 3504, 3502, 3555, 3673, 3784, 3903, 4058, 4016, 3874, 3722, 3577, 3504, 3548, 3624, 3740, 3862, 3951, 3913, 3782, 3658, 3544, 3487, 3517, 3566, 3632, 3673, 3716, 3702, 3647, 3558, 3524, 3482, 3490, 3527, 3568, 3586, 3561, 3528, 3488, 3489, 3489, 3509, 3503]",279517,4058,"[[1283, 594]]",11.683979433829641
8,9,"[3485, 3488, 3488, 3482, 3490, 3485]",20918,3490,"[[1306, 593]]",14.49869960334628
9,10,"[3500, 3483, 3491, 3508, 3527, 3556, 3518, 3504, 3528, 3544, 3581, 3589, 3549, 3526, 3506, 3542, 3575, 3573, 3562, 3528, 3503, 3529, 3550, 3519, 3488, 3493]",91772,3589,"[[1317, 520]]",12.89322450888072
10,11,"[3482, 3482, 3483, 3483]",13930,3483,"[[1386, 467], [1387, 468]]",14.940122208940092
11,12,"[3482, 3482, 3491]",10455,3491,"[[1370, 506]]",15.251689907115773
12,13,"[3489, 3493, 3486, 3491, 3500, 3495, 3487, 3484, 3492, 3488, 3490, 3499, 3496, 3488, 3485, 3484, 3492, 3490, 3484]",66313,3500,"[[1381, 499]]",13.24600331040494
