,Magnitude (Step of 0.001),N(m)
0,8.767024743,0
1,8.768024743,1
2,8.769024743,1
3,8.770024743,1
4,8.771024743,1
5,8.772024743,1
6,8.773024743,1
7,8.774024743,1
8,8.775024743,1
9,8.776024743,1
10,8.777024743,1
11,8.778024743,1
12,8.779024743,1
13,8.780024743,1
14,8.781024743,1
15,8.782024743,1
16,8.783024743,1
17,8.784024743,1
18,8.785024743,1
19,8.786024743,1
20,8.787024743,1
21,8.788024743,1
22,8.789024743,1
23,8.790024743,1
24,8.791024743,1
25,8.792024743,1
26,8.793024743,1
27,8.794024743,1
28,8.795024743,1
29,8.796024743,1
30,8.797024743,1
31,8.798024743,1
32,8.799024743,1
33,8.800024743,1
34,8.801024743,1
35,8.802024743,1
36,8.803024743,1
37,8.804024743,1
38,8.805024743,1
39,8.806024743,1
40,8.807024743,1
41,8.808024743,1
42,8.809024743,1
43,8.810024743,1
44,8.811024743,1
45,8.812024743,1
46,8.813024743,1
47,8.814024743,1
48,8.815024743,1
49,8.816024743,1
50,8.817024743,1
51,8.818024743,1
52,8.819024743,1
53,8.820024743,1
54,8.821024743,1
55,8.822024743,1
56,8.823024743,1
57,8.824024743,1
58,8.825024743,1
59,8.826024743,1
60,8.827024743,1
61,8.828024743,1
62,8.829024743,1
63,8.830024743,1
64,8.831024743,1
65,8.832024743,1
66,8.833024743,1
67,8.834024743,1
68,8.835024743,1
69,8.836024743,1
70,8.837024743,1
71,8.838024743,1
72,8.839024743,1
73,8.840024743,1
74,8.841024743,1
75,8.842024743,1
76,8.843024743,1
77,8.844024743,1
78,8.845024743,1
79,8.846024743,1
80,8.847024743,1
81,8.848024743,1
82,8.849024743,1
83,8.850024743,1
84,8.851024743,1
85,8.852024743,1
86,8.853024743,1
87,8.854024743,1
88,8.855024743,1
89,8.856024743,1
90,8.857024743,1
91,8.858024743,1
92,8.859024743,1
93,8.860024743,1
94,8.861024743,1
95,8.862024743,1
96,8.863024743,1
97,8.864024743,1
98,8.865024743,1
99,8.866024743,1
100,8.867024743,1
101,8.868024743,1
102,8.869024743,1
103,8.870024743,1
104,8.871024743,1
105,8.872024743,1
106,8.873024743,1
107,8.874024743,1
108,8.875024743,1
109,8.876024743,1
110,8.877024743,1
111,8.878024743,1
112,8.879024743,1
113,8.880024743,1
114,8.881024743,1
115,8.882024743,1
116,8.883024743,1
117,8.884024743,1
118,8.885024743,1
119,8.886024743,1
120,8.887024743,1
121,8.888024743,1
122,8.889024743,1
123,8.890024743,1
124,8.891024743,1
125,8.892024743,1
126,8.893024743,1
127,8.894024743,1
128,8.895024743,1
129,8.896024743,1
130,8.897024743,1
131,8.898024743,1
132,8.899024743,1
133,8.900024743,1
134,8.901024743,1
135,8.902024743,1
136,8.903024743,1
137,8.904024743,1
138,8.905024743,1
139,8.906024743,1
140,8.907024743,1
141,8.908024743,1
142,8.909024743,1
143,8.910024743,1
144,8.911024743,1
145,8.912024743,1
146,8.913024743,1
147,8.914024743,1
148,8.915024743,1
149,8.916024743,1
150,8.917024743,1
151,8.918024743,1
152,8.919024743,1
153,8.920024743,1
154,8.921024743,1
155,8.922024743,1
156,8.923024743,1
157,8.924024743,1
158,8.925024743,1
159,8.926024743,1
160,8.927024743,1
161,8.928024743,1
162,8.929024743,1
163,8.930024743,1
164,8.931024743,1
165,8.932024743,1
166,8.933024743,1
167,8.934024743,1
168,8.935024743,1
169,8.936024743,1
170,8.937024743,1
171,8.938024743,1
172,8.939024743,1
173,8.940024743,1
174,8.941024743,1
175,8.942024743,1
176,8.943024743,1
177,8.944024743,1
178,8.945024743,1
179,8.946024743,1
180,8.947024743,1
181,8.948024743,1
182,8.949024743,1
183,8.950024743,1
184,8.951024743,1
185,8.952024743,1
186,8.953024743,1
187,8.954024743,1
188,8.955024743,1
189,8.956024743,1
190,8.957024743,1
191,8.958024743,1
192,8.959024743,1
193,8.960024743,1
194,8.961024743,1
195,8.962024743,1
196,8.963024743,1
197,8.964024743,1
198,8.965024743,1
199,8.966024743,1
200,8.967024743,1
201,8.968024743,1
202,8.969024743,1
203,8.970024743,1
204,8.971024743,1
205,8.972024743,1
206,8.973024743,1
207,8.974024743,1
208,8.975024743,1
209,8.976024743,1
210,8.977024743,1
211,8.978024743,1
212,8.979024743,1
213,8.980024743,1
214,8.981024743,1
215,8.982024743,1
216,8.983024743,1
217,8.984024743,1
218,8.985024743,1
219,8.986024743,1
220,8.987024743,1
221,8.988024743,1
222,8.989024743,1
223,8.990024743,1
224,8.991024743,1
225,8.992024743,1
226,8.993024743,1
227,8.994024743,1
228,8.995024743,1
229,8.996024743,1
230,8.997024743,1
231,8.998024743,1
232,8.999024743,1
233,9.000024743,1
234,9.001024743,1
235,9.002024743,1
236,9.003024743,1
237,9.004024743,1
238,9.005024743,1
239,9.006024743,1
240,9.007024743,1
241,9.008024743,1
242,9.009024743,1
243,9.010024743,1
244,9.011024743,1
245,9.012024743,1
246,9.013024743,1
247,9.014024743,1
248,9.015024743,1
249,9.016024743,1
250,9.017024743,1
251,9.018024743,1
252,9.019024743,1
253,9.020024743,1
254,9.021024743,1
255,9.022024743,1
256,9.023024743,1
257,9.024024743,1
258,9.025024743,1
259,9.026024743,1
260,9.027024743,1
261,9.028024743,1
262,9.029024743,1
263,9.030024743,1
264,9.031024743,1
265,9.032024743,1
266,9.033024743,1
267,9.034024743,1
268,9.035024743,1
269,9.036024743,1
270,9.037024743,1
271,9.038024743,1
272,9.039024743,1
273,9.040024743,1
274,9.041024743,1
275,9.042024743,1
276,9.043024743,1
277,9.044024743,1
278,9.045024743,1
279,9.046024743,1
280,9.047024743,1
281,9.048024743,1
282,9.049024743,1
283,9.050024743,1
284,9.051024743,1
285,9.052024743,1
286,9.053024743,1
287,9.054024743,1
288,9.055024743,1
289,9.056024743,1
290,9.057024743,1
291,9.058024743,1
292,9.059024743,1
293,9.060024743,1
294,9.061024743,1
295,9.062024743,1
296,9.063024743,1
297,9.064024743,1
298,9.065024743,1
299,9.066024743,1
300,9.067024743,1
301,9.068024743,1
302,9.069024743,1
303,9.070024743,1
304,9.071024743,1
305,9.072024743,1
306,9.073024743,1
307,9.074024743,1
308,9.075024743,1
309,9.076024743,1
310,9.077024743,1
311,9.078024743,1
312,9.079024743,1
313,9.080024743,1
314,9.081024743,1
315,9.082024743,1
316,9.083024743,1
317,9.084024743,1
318,9.085024743,1
319,9.086024743,1
320,9.087024743,1
321,9.088024743,1
322,9.089024743,1
323,9.090024743,1
324,9.091024743,1
325,9.092024743,1
326,9.093024743,1
327,9.094024743,1
328,9.095024743,1
329,9.096024743,1
330,9.097024743,1
331,9.098024743,1
332,9.099024743,1
333,9.100024743,1
334,9.101024743,1
335,9.102024743,1
336,9.103024743,1
337,9.104024743,1
338,9.105024743,1
339,9.106024743,1
340,9.107024743,1
341,9.108024743,1
342,9.109024743,1
343,9.110024743,1
344,9.111024743,1
345,9.112024743,1
346,9.113024743,1
347,9.114024743,1
348,9.115024743,1
349,9.116024743,1
350,9.117024743,1
351,9.118024743,1
352,9.119024743,1
353,9.120024743,1
354,9.121024743,1
355,9.122024743,1
356,9.123024743,1
357,9.124024743,1
358,9.125024743,1
359,9.126024743,1
360,9.127024743,1
361,9.128024743,1
362,9.129024743,1
363,9.130024743,1
364,9.131024743,1
365,9.132024743,1
366,9.133024743,1
367,9.134024743,1
368,9.135024743,1
369,9.136024743,1
370,9.137024743,1
371,9.138024743,1
372,9.139024743,1
373,9.140024743,1
374,9.141024743,1
375,9.142024743,1
376,9.143024743,1
377,9.144024743,1
