,x1,y1,Mean,Mean_uncer,sigma,sigma_uncer,A,A_uncer
0,200,200,3418.378284,0.133880841,17.15196908,0.017924918,226.1664309,2.337724691
1,300,200,3417.275416,0.141933045,15.02957965,0.020172526,264.5711926,4.691861369
2,400,200,3418.964122,0.102116189,13.03922214,0.010431118,298.7949676,4.106872575
3,500,200,3421.349354,0.087636357,12.13052405,0.00768237,324.2754991,4.116436176
4,600,200,3424.411862,0.101189249,12.71457742,0.010210466,287.3611959,3.905840964
5,700,200,3424.154752,0.122421833,11.61769986,0.014989278,341.2701925,9.70156021
6,800,200,3424.712031,0.101696794,12.14756328,0.010253162,321.0200326,5.375334284
7,900,200,3423.553161,0.096975292,12.12886899,0.009409827,317.3294428,4.833223338
8,1000,200,3423.661485,0.085962501,12.48611799,0.007394896,292.2563076,3.036758536
9,1100,200,3423.736522,0.090152403,12.41640112,0.008146247,299.4591594,3.545829132
10,1200,200,3424.638815,0.094256579,12.58966638,0.008883283,304.1056744,3.874263045
11,1300,200,3425.455979,0.104503306,13.41242692,0.010929357,288.3263279,3.785598516
12,1400,200,3420.849891,0.172522366,12.49749862,0.029780879,219.9843083,6.918153503
13,1500,200,3414.593582,0.127821392,11.98237197,0.016396801,331.694394,9.403142726
14,1600,200,3409.992787,0.073310063,11.48010607,0.005358574,336.8426411,3.46331579
15,1700,200,3407.358724,0.07555421,11.57699052,0.005679206,325.8127208,3.378448001
16,1800,200,3405.415964,0.087792599,11.90581907,0.007713692,312.1864911,3.965055581
17,1900,200,3406.284995,0.091772501,12.19090993,0.008462285,308.0092017,4.046725133
18,2000,200,3405.77064,0.08809227,11.66115104,0.007723534,325.3563692,4.504431724
19,2100,200,3405.07095,0.093156581,12.27376205,0.008759619,316.9502382,4.363823558
20,2200,200,3404.923441,0.092538179,14.81385349,0.008572788,257.1060571,1.934921842
21,2300,200,3404.772549,0.145316581,18.10741373,0.021137109,214.7666544,2.230801806
22,2400,200,3404.273483,0.176498149,20.70063133,0.031157215,186.3006881,1.892452615
23,2500,200,3407.917088,0.465064555,28.67170795,0.216544436,93.24445102,1.715246911
24,200,300,3419.592211,0.16663305,15.88663694,0.027780998,243.4816485,4.891248624
25,300,300,3419.546865,0.109296961,12.34913042,0.011954269,320.412123,6.037714059
26,400,300,3419.189987,0.120108078,10.56085742,0.014421757,373.9525529,13.56671071
27,500,300,3421.915165,0.104366019,10.12213181,0.010870975,383.4083649,11.69923366
28,600,300,3425.144904,0.079068865,10.52811832,0.006226823,361.7607076,5.516445956
29,700,300,3424.893089,0.080135904,10.45041026,0.006421505,368.5072364,5.986415831
30,800,300,3424.272651,0.066110825,10.33110229,0.004368203,368.6217033,4.206919103
31,900,300,3422.812749,0.0934714,10.05412046,0.00874743,389.4339338,9.832796835
32,1000,300,3423.242942,0.074716729,10.56208713,0.005587685,357.3650654,4.794163454
33,1100,300,3424.50961,0.118623763,10.63954212,0.014070415,355.3988751,11.77162476
34,1200,300,3427.158447,0.082489388,10.46962395,0.006806468,357.9161255,5.964627653
35,1300,300,3426.35162,0.10429218,10.50331534,0.01088214,327.2000937,7.917997951
36,1400,300,3426.60198,0.169922147,11.13769754,0.028933389,201.0058979,7.062014135
