in s,C1 in V
-4.0144210E+00,5.42848E-01
-4.0140534E+00,5.32105E-01
-4.0136859E+00,5.18434E-01
-4.0133184E+00,5.07691E-01
-4.0129509E+00,5.05738E-01
-4.0125834E+00,5.11598E-01
-4.0122158E+00,5.21363E-01
-4.0118483E+00,5.36012E-01
-4.0114808E+00,5.42848E-01
-4.0111133E+00,5.42848E-01
-4.0107458E+00,5.35035E-01
-4.0103782E+00,5.20387E-01
-4.0100107E+00,5.07691E-01
-4.0096432E+00,5.09645E-01
-4.0092757E+00,5.18434E-01
-4.0089082E+00,5.29176E-01
-4.0085406E+00,5.41871E-01
-4.0081731E+00,5.46754E-01
-4.0078056E+00,5.44801E-01
-4.0074381E+00,5.29176E-01
-4.0070706E+00,5.09645E-01
-4.0067030E+00,4.99879E-01
-4.0063355E+00,5.05738E-01
-4.0059680E+00,5.19410E-01
-4.0056005E+00,5.30152E-01
-4.0052330E+00,5.41871E-01
-4.0048654E+00,5.39918E-01
-4.0044979E+00,5.32105E-01
-4.0041304E+00,5.16480E-01
-4.0037629E+00,5.06715E-01
-4.0033954E+00,5.01832E-01
-4.0030278E+00,5.10621E-01
-4.0026603E+00,5.26246E-01
-4.0022928E+00,5.36012E-01
-4.0019253E+00,5.43824E-01
-4.0015578E+00,5.41871E-01
-4.0011902E+00,5.31129E-01
-4.0008227E+00,5.14527E-01
-4.0004552E+00,5.06715E-01
-4.0000877E+00,5.06715E-01
-3.9997202E+00,5.19410E-01
-3.9993526E+00,5.29176E-01
-3.9989851E+00,5.41871E-01
-3.9986176E+00,5.45777E-01
-3.9982501E+00,5.42848E-01
-3.9978826E+00,5.24293E-01
-3.9975150E+00,5.07691E-01
-3.9971475E+00,5.04762E-01
-3.9967800E+00,5.06715E-01
-3.9964125E+00,5.19410E-01
-3.9960450E+00,5.30152E-01
-3.9956774E+00,5.39918E-01
-3.9953099E+00,5.37965E-01
-3.9949424E+00,5.28199E-01
-3.9945749E+00,5.12574E-01
-3.9942074E+00,5.02809E-01
-3.9938398E+00,5.03785E-01
-3.9934723E+00,5.12574E-01
-3.9931048E+00,5.22340E-01
-3.9927373E+00,5.37965E-01
-3.9923698E+00,5.44801E-01
-3.9920022E+00,5.40895E-01
-3.9916347E+00,5.29176E-01
-3.9912672E+00,5.12574E-01
-3.9908997E+00,5.05738E-01
-3.9905322E+00,5.08668E-01
-3.9901646E+00,5.20387E-01
-3.9897971E+00,5.35035E-01
-3.9894296E+00,5.42848E-01
-3.9890621E+00,5.45777E-01
-3.9886946E+00,5.39918E-01
-3.9883270E+00,5.20387E-01
-3.9879595E+00,5.09645E-01
-3.9875920E+00,5.05738E-01
-3.9872245E+00,5.08668E-01
-3.9868570E+00,5.18434E-01
-3.9864894E+00,5.32105E-01
-3.9861219E+00,5.38941E-01
-3.9857544E+00,5.41871E-01
-3.9853869E+00,5.24293E-01
-3.9850194E+00,5.12574E-01
-3.9846518E+00,5.05738E-01
-3.9842843E+00,5.06715E-01
-3.9839168E+00,5.15504E-01
-3.9835493E+00,5.27223E-01
-3.9831818E+00,5.41871E-01
-3.9828142E+00,5.43824E-01
-3.9824467E+00,5.40895E-01
-3.9820792E+00,5.28199E-01
-3.9817117E+00,5.07691E-01
-3.9813442E+00,5.04762E-01
-3.9809766E+00,5.16480E-01
-3.9806091E+00,5.21363E-01
-3.9802416E+00,5.32105E-01
-3.9798741E+00,5.41871E-01
-3.9795066E+00,5.44801E-01
-3.9791390E+00,5.36012E-01
-3.9787715E+00,5.18434E-01
-3.9784040E+00,5.04762E-01
-3.9780365E+00,5.01832E-01
-3.9776690E+00,5.10621E-01
-3.9773014E+00,5.22340E-01
-3.9769339E+00,5.32105E-01
-3.9765664E+00,5.41871E-01
-3.9761989E+00,5.39918E-01
-3.9758314E+00,5.25270E-01
-3.9754638E+00,5.09645E-01
-3.9750963E+00,5.03785E-01
-3.9747288E+00,5.04762E-01
-3.9743613E+00,5.15504E-01
-3.9739938E+00,5.28199E-01
-3.9736262E+00,5.38941E-01
-3.9732587E+00,5.42848E-01
-3.9728912E+00,5.39918E-01
-3.9725237E+00,5.25270E-01
-3.9721562E+00,5.12574E-01
-3.9717886E+00,5.07691E-01
-3.9714211E+00,5.12574E-01
-3.9710536E+00,5.24293E-01
-3.9706861E+00,5.37965E-01
-3.9703186E+00,5.47730E-01
-3.9699510E+00,5.46754E-01
-3.9695835E+00,5.32105E-01
-3.9692160E+00,5.16480E-01
-3.9688485E+00,5.04762E-01
-3.9684810E+00,5.16480E-01
-3.9681134E+00,5.24293E-01
-3.9677459E+00,5.32105E-01
-3.9673784E+00,5.42848E-01
-3.9670109E+00,5.36988E-01
-3.9666434E+00,5.21363E-01
-3.9662758E+00,5.07691E-01
-3.9659083E+00,5.02809E-01
-3.9655408E+00,5.10621E-01
-3.9651733E+00,5.18434E-01
-3.9648058E+00,5.28199E-01
-3.9644382E+00,5.40895E-01
-3.9640707E+00,5.44801E-01
-3.9637032E+00,5.38941E-01
-3.9633357E+00,5.21363E-01
-3.9629682E+00,5.07691E-01
-3.9626006E+00,5.06715E-01
-3.9622331E+00,5.15504E-01
-3.9618656E+00,5.24293E-01
-3.9614981E+00,5.37965E-01
-3.9611306E+00,5.44801E-01
-3.9607630E+00,5.42848E-01
-3.9603955E+00,5.32105E-01
-3.9600280E+00,5.15504E-01
-3.9596605E+00,5.04762E-01
-3.9592930E+00,5.08668E-01
-3.9589254E+00,5.16480E-01
-3.9585579E+00,5.28199E-01
-3.9581904E+00,5.37965E-01
-3.9578229E+00,5.40895E-01
-3.9574554E+00,5.34059E-01
-3.9570878E+00,5.21363E-01
-3.9567203E+00,5.05738E-01
-3.9563528E+00,5.05738E-01
-3.9559853E+00,5.06715E-01
-3.9556178E+00,5.21363E-01
-3.9552502E+00,5.35035E-01
-3.9548827E+00,5.41871E-01
-3.9545152E+00,5.43824E-01
-3.9541477E+00,5.34059E-01
-3.9537802E+00,5.20387E-01
-3.9534126E+00,5.07691E-01
-3.9530451E+00,5.05738E-01
-3.9526776E+00,5.17457E-01
-3.9523101E+00,5.30152E-01
-3.9519426E+00,5.39918E-01
-3.9515750E+00,5.43824E-01
-3.9512075E+00,5.41871E-01
-3.9508400E+00,5.26246E-01
-3.9504725E+00,5.08668E-01
-3.9501050E+00,5.00855E-01
-3.9497374E+00,5.03785E-01
-3.9493699E+00,5.18434E-01
-3.9490024E+00,5.32105E-01
-3.9486349E+00,5.38941E-01
-3.9482674E+00,5.39918E-01
-3.9478998E+00,5.32105E-01
-3.9475323E+00,5.21363E-01
-3.9471648E+00,5.06715E-01
-3.9467973E+00,5.02809E-01
-3.9464298E+00,5.08668E-01
-3.9460622E+00,5.21363E-01
-3.9456947E+00,5.33082E-01
-3.9453272E+00,5.42848E-01
-3.9449597E+00,5.45777E-01
-3.9445922E+00,5.33082E-01
-3.9442246E+00,5.19410E-01
-3.9438571E+00,5.05738E-01
-3.9434896E+00,5.07691E-01
-3.9431221E+00,5.16480E-01
-3.9427546E+00,5.29176E-01
